id,purpose_validated,dur_in_sec,hour_start,hour_end,day_of_month,week,dist_gtfsstops_all,dist_gtfsstops_train,dist_gtfsstops_tram,dist_gtfsstops_bus,day
0,home,1017.087,8,9,2,5,126.1885321794602,574.2590445227503,10496.59356426994,126.1885321794602,3
1,leisure,310.0,0,0,14,2,411.4789496045517,3388.489009233072,24408.713071068607,411.4789496045517,6
2,leisure,4993.099,16,17,23,51,242.79921810259327,420.06132451599615,242.79921810259327,242.79921810259327,4
3,errand,422.515001,11,11,29,26,73.11852351930641,1757.2389561432724,16999.384112296753,73.11852351930641,3
4,leisure,9673.579,18,21,28,4,644.6383567407654,644.6383567407654,45432.18104636975,2333.563174309916,5
5,leisure,331.4530000000001,6,6,1,13,20.64123968882933,20.64123968882933,1549.0413729653576,69.65948244858654,5
6,work,28948.300000000007,5,13,12,24,138.79370970720956,138.79370970720956,2665.503193780077,138.79370970720956,0
7,work,28751.252,10,18,15,24,237.1757806843902,443.0205118635391,246.78773584127566,237.1757806843902,3
8,wait,401.541,16,16,3,5,77.9746432626598,77.9746432626598,15202.00794343343,88.68150007640448,4
9,errand,4658.822,13,15,2,22,56.79394258040839,56.79394258040839,48992.290219799856,109.54873795673159,4
10,home,40690.629,18,5,2,9,246.73558524717902,510.5748505358461,21978.00076360608,246.73558524717902,3
11,errand,1200.340999,13,14,21,51,151.15830515998914,400.20025388947533,27456.30077382552,151.15830515998914,2
12,errand,4285.9520010000015,14,16,18,20,107.09704621636257,107.09704621636257,89934.58860574063,112.3800110248645,3
13,work,562.1850000000002,17,17,12,24,99.04253526831005,1051.203444216316,36756.469800304985,99.04253526831005,0
14,work,23444.007,5,12,4,36,32.44227331407722,508.2277968921386,19195.007067047663,32.44227331407722,0
15,wait,484.669001,16,16,14,15,133.13730054174698,567.9736515401303,1114.5475671942934,133.13730054174698,4
16,leisure,4921.413001,17,18,29,39,196.3635679591008,943.8626750015706,26404.39635336315,196.3635679591008,4
17,wait,1285.0,5,5,16,3,133.94164535489182,133.94164535489182,22846.66931658731,133.94164535489182,1
18,leisure,911.816,9,9,7,40,1188.6452642771173,1188.6452642771173,29572.281654491002,3140.362199551505,5
19,home,911.914,10,11,28,9,49.81761683440172,322.5063575501544,2829.990018064965,49.81761683440172,1
20,leisure,973.184,17,17,9,41,61.9801361497895,550.6490716936651,61.9801361497895,61.9801361497895,0
21,errand,433.694,16,17,17,46,49.65113724975028,640.9297234465689,36406.0767243914,49.65113724975028,4
22,work,12996.866000000002,5,9,7,36,54.28903834086554,147.15793851539854,23176.73048479326,54.28903834086554,3
23,leisure,27943.432999999997,9,17,17,50,213.83821546235816,8106.539479229597,26833.810632385474,233.6806833679398,5
24,home,42542.335999999996,19,6,27,48,144.16482433119887,857.0326328825328,12705.577197664843,144.16482433119887,0
25,work,11819.067,17,20,17,37,629.796788455513,629.796788455513,9646.210355674828,1339.2762715727554,6
26,wait,300.0970000000001,15,15,24,8,34.26295815157498,34.26295815157498,101.82312825621496,34.26295815157498,4
27,errand,6016.578001000001,13,15,28,43,160.39550427922657,1274.7313656507104,28251.847892087422,160.39550427922657,5
28,errand,1854.003,8,9,8,14,33.66512921199196,365.85448380227393,15436.474637849686,33.66512921199196,5
29,work,5049.865000000002,15,17,5,31,6308967.33042648,6308967.33042648,6374972.42006482,6368863.58759346,5
30,work,13065.383999999998,12,16,28,9,169.66367214461374,169.66367214461374,37768.60427434844,233.72472370353447,1
31,home,40510.977,18,5,27,17,146.89387689330383,1630.4743977006135,24296.95241489399,146.89387689330383,3
32,work,22855.865,10,16,31,5,323.72494820480193,719.8503843994438,3813.472602458286,323.72494820480193,1
33,wait,914.419001,16,16,5,1,8.73980527630465,27.317047753862656,8.73980527630465,8.73980527630465,3
34,work,312.0659990000001,7,7,20,8,24.185389304213523,32.31195234509046,28560.244419122413,24.185389304213523,0
35,wait,423.09400100000005,4,5,19,51,55.040829727204006,55.040829727204006,58817.688561179355,72.57244969816989,0
36,home,7146.0,15,17,30,26,61.92754362379924,5785.928804461595,33939.236052937944,61.92754362379924,4
37,home,8027.105,13,15,11,19,309.15754398771753,1022.7080105553986,136265.88564649635,309.15754398771753,3
38,leisure,2313.339,6,7,21,29,122.88316090010711,253.8595899766351,122.88316090010711,122.88316090010711,4
39,leisure,4449.0,21,22,18,3,65.46468796105816,65.46468796105816,16302.120677499699,65.46468796105816,3
40,errand,833.6500000000002,13,13,22,16,720.5948526279858,4614.985187886252,12760.021161295754,720.5948526279858,5
41,home,30392.772999999997,7,15,28,48,39.1079525163561,3563.7911888137337,12417.634812140212,39.1079525163561,1
42,home,30854.565,21,6,10,32,212.15866111062917,3292.421006103208,21165.57601194894,212.15866111062917,3
43,home,39882.539,20,7,25,34,59.29105923899544,362.55409134666087,28882.459213365055,59.29105923899544,4
44,wait,414.912999,9,9,24,34,15.968721721152587,15.968721721152587,27137.49507966589,31.30195119827167,3
45,home,11155.606000000002,1,4,18,16,140.3700876647708,1192.7321237197725,42050.276942907636,140.3700876647708,1
46,wait,546.976999,8,8,7,32,16.269210243844768,16.269210243844768,23328.76742413937,92.55471723105244,0
47,errand,370.773,15,15,2,1,422.67811042527643,422.67811042527643,8540.718688345338,489.5324778448197,0
48,work,31589.551001000003,10,19,7,6,159.631287399702,689.242238064695,49035.59014848981,159.631287399702,1
49,home,25733.0,18,1,19,51,137.63236697063735,563.2425410108872,10503.998047614958,137.63236697063735,1
50,leisure,2341.515000000001,16,17,1,18,219.90009705937138,491.9804723706391,682.9574997012876,219.90009705937138,0
51,errand,1684.326,13,13,7,10,100.0344407783632,118.71089643846315,10520.029778059576,100.0344407783632,1
52,leisure,335.6140010000001,9,9,22,8,208.32123641677,15476.009443053432,127421.45152408119,208.32123641677,2
53,work,2912.462,11,11,4,49,127.97021807234587,452.22030573884837,36841.65163228913,127.97021807234587,0
54,home,5563.0,14,15,27,52,214.15468248164345,7142.977507123545,101329.63682019018,214.15468248164345,2
55,wait,1057.924001,12,12,14,15,13.141000575382959,13.141000575382959,75361.85448996548,278.5260549935526,4
56,work,2880.167000000001,6,6,9,23,217.70289431986043,1940.7026037005887,49348.997223622035,217.70289431986043,4
57,leisure,6757.06,9,11,27,34,323.74599690870036,5637.851410674209,14104.267983836316,323.74599690870036,6
58,leisure,4810.72,14,16,30,17,34.29453110713597,783.2003083093421,29873.603125539223,34.29453110713597,6
59,work,6290.76,12,14,10,10,694.1824115617094,1806.3303264180515,40043.03900662484,694.1824115617094,4
60,errand,736.0,15,16,23,51,15.291179431678872,396.42455897517715,90990.8204872503,15.291179431678872,5
61,work,2621.871999,8,9,21,8,35.45733515694361,52.75159623543693,18296.434421006466,35.45733515694361,1
62,home,75834.385001,16,13,31,31,754.288268048073,1625.612596660143,40659.816335212854,754.288268048073,0
63,work,462.573,6,6,13,11,54.864395420384504,716.1993329836229,897.3776844249896,54.864395420384504,0
64,home,11552.846,0,4,19,42,156.62631620205298,1360.7464386189058,13716.306153273206,156.62631620205298,3
65,wait,799.0,15,15,4,31,8911658.404023062,8934949.887632055,9139480.507600224,8911658.404023062,4
66,home,12808.223,10,13,4,9,1249.7664147529013,1643.9058793301874,46922.145355171706,1249.7664147529013,5
67,wait,673.0690000000002,16,16,24,38,41.84902661613897,41.84902661613897,8141.356520276709,61.98462730917304,6
68,work,26908.984999,6,13,13,11,27.20260360898393,46.451884471038255,74845.43797163434,27.20260360898393,0
69,errand,3803.0000000000014,14,15,19,3,76.9576959631001,124.76803621254982,13202.58836011241,76.9576959631001,4
70,wait,897.0,15,15,16,3,31.34554227131884,31.34554227131884,33927.00914211378,82.04461425961463,1
